auroc,pr_auc,mcc,brier,ece,threshold,model,fold,val_prevalence
0.5,0.07355383149584864,0.0,0.07355383149584864,0.07355383149584864,0.05,Dummy_most_frequent,1,0.07355383149584864
0.5,0.07355383149584864,0.0,0.07355383149584864,0.07355383149584864,0.05,Dummy_most_frequent,2,0.07355383149584864
0.5,0.07352861109598736,0.0,0.07352861109598736,0.07352861109598736,0.05,Dummy_most_frequent,3,0.07352861109598736
0.7090371456206034,0.13842480584911937,0.16164339575922115,0.2237332095485929,0.36547001552033004,0.49999999999999994,LR_raw_balanced,1,0.07355383149584864
0.6993068707663305,0.13356186235200407,0.14923246307862523,0.22519881814428153,0.3651748223010559,0.5049999999999999,LR_raw_balanced,2,0.07355383149584864
0.708289881721068,0.1383806206141792,0.15979504117687265,0.22487806487631212,0.3661617691577328,0.4749999999999999,LR_raw_balanced,3,0.07352861109598736
0.7101970552246032,0.1394645431457399,0.16272988390362444,0.22457987242435198,0.36366607408705526,0.5049999999999999,LR_engineered_balanced,1,0.07355383149584864
0.7010326688406208,0.13537817827504556,0.15054557885763373,0.22587352576600309,0.3640501770884856,0.5199999999999999,LR_engineered_balanced,2,0.07355383149584864
0.7091815397545251,0.13924721102275148,0.15866245561070869,0.22534151559248708,0.3641067461890392,0.5249999999999999,LR_engineered_balanced,3,0.07352861109598736
0.7101428832637143,0.13940390308296446,0.16156224570053654,0.06565619298278104,0.0010019008000830489,0.075,LR_engineered_calibrated,1,0.07355383149584864
0.7011463358929526,0.13542857603206931,0.15089085753815112,0.06587336024775194,0.002123104818215959,0.08,LR_engineered_calibrated,2,0.07355383149584864
0.7091604514828711,0.1393701023273044,0.1591072056615536,0.06564013953944826,0.0006323663168726906,0.08,LR_engineered_calibrated,3,0.07352861109598736
