model,auroc_mean,auroc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std,brier_mean,brier_std,ece_mean,ece_std,global_threshold
LR_engineered_balanced,0.7066412441665479,0.0006206843143618523,0.13770922108602549,0.0014025562378173206,0.15695723134716866,0.0007891699458518753,0.22512272858019552,0.0002700678200292239,0.3636111525376504,0.0005443061680213412,0.5399999999999999
LR_engineered_calibrated,0.7067309519110149,0.0006178077024742157,0.1376969826473914,0.0014241818206462975,0.15651990252999948,0.00010147466123250348,0.06572870221822129,2.8036505963391356e-05,0.0006402689340345396,0.00010101582163181113,0.08499999999999999
LR_raw_balanced,0.7055800677352341,0.0007339801935501988,0.13650304422372775,0.0007784737563020505,0.15745350728991087,0.0007179786049758691,0.2245933850714525,0.000185435071576881,0.36559608124020315,0.00043691000485771014,0.5049999999999999
Dummy_most_frequent,0.5,0.0,0.07354542484846285,9.074080795618e-06,0.0,0.0,0.07354542484846285,9.074080795618e-06,0.07354542484846285,9.074080795618e-06,0.05
