auroc,pr_auc,mcc,brier,ece,threshold,model,cohort,prevalence,n_samples
0.5895880700971923,0.23072385349829816,0.10137299965966462,0.27947263464967315,0.3386483348207326,0.5399999999999999,LR_engineered_balanced,study,0.1892814025510472,19051
0.5894249395857808,0.23046316020403523,0.10182998212103644,0.1598331686121201,0.0934041670805715,0.08499999999999999,LR_engineered_calibrated,study,0.1892814025510472,19051
0.5872199170944006,0.22843759733954166,0.10306641861930323,0.2793984642719533,0.3377148933173911,0.5049999999999999,LR_raw_balanced,study,0.1892814025510472,19051
0.5,0.1892814025510472,0.0,0.1892814025510472,0.1892814025510472,0.05,Dummy_most_frequent,study,0.1892814025510472,19051
0.5720870206489677,0.21826176615264392,0.13724744616016746,0.1579065662840788,0.1195302150830452,0.08499999999999999,LR_engineered_calibrated,validation,0.17518248175182483,137
0.5724557522123893,0.2178175448654921,0.13724744616016746,0.204453042968944,0.20851780596452113,0.5399999999999999,LR_engineered_balanced,validation,0.17518248175182483,137
0.549594395280236,0.20867497712599983,0.13531101179139052,0.20592995269512496,0.21435758766994295,0.5049999999999999,LR_raw_balanced,validation,0.17518248175182483,137
0.5,0.17518248175182483,0.0,0.17518248175182483,0.17518248175182483,0.05,Dummy_most_frequent,validation,0.17518248175182483,137
