Model,Accuracy,AUROC,PR-AUC,F1
Majority class (most_frequent),0.926454575127314,0.5,0.926454575127314,0.9618234315912766
Stratified random,0.8624550954412544,0.5018643798384673,0.9267090383279157,0.925684428172169
Uniform random,0.4994555526818482,0.5,0.926454575127314,0.649270715600705
