model,auroc_mean,auroc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std,brier_mean,brier_std,ece_mean,ece_std,global_threshold
LR_engineered_calibrated,0.7068165568798461,0.004029462129627849,0.13806752714744605,0.0018660712499405313,0.15718676963341374,0.004563309269357639,0.06572323092332709,0.00010635957502706702,0.0012524573117238995,0.0006338555271726712,0.08499999999999999
LR_engineered_balanced,0.706803754606583,0.004101779378599908,0.13802997748117898,0.001877203165200476,0.1573126394573223,0.005064966278229031,0.22526497126094738,0.0005308979927816705,0.3639409991215267,0.00019576830986091278,0.5149999999999999
XGB_engineered_weighted,0.7063278661766225,0.0037828652467082713,0.13782431737605824,0.001539024964496204,0.15466382588698513,0.004181823772853279,0.22503035763899484,0.0003998979254249907,0.36238892686327334,0.0002354832663606984,0.5349999999999999
RF_engineered_balanced,0.7055681030406479,0.0035191833956455553,0.1375833110952389,0.001288937434816633,0.1552163000518124,0.004660670077772989,0.22338369300570435,0.0005806477051651172,0.35981011051916445,7.457781166815314e-05,0.4499999999999999
LR_raw_balanced,0.7055446327026673,0.004421301189672296,0.13678909627176752,0.0022820702827915738,0.15689030000490636,0.005467232905084506,0.22460336418972884,0.0006290720622981544,0.3656022023263729,0.0004136190181354163,0.4799999999999999
Dummy_most_frequent,0.5,0.0,0.07354542469589488,1.1889010510762753e-05,0.0,0.0,0.07354542469589488,1.1889010510762753e-05,0.07354542469589488,1.1889010510762753e-05,0.05
